id_number,pokedex_number,name,generation,status,species,type_1,type_2,height_m,weight_kg,ability_1,ability_2,ability_hidden,hp,attack,defense,sp_attack,sp_defense,speed,catch_rate,base_friendship,base_experience,growth_rate,egg_type_1,egg_type_2,percentage_male,egg_cycles
1,1,Bulbasaur,1,Normal,Seed Pokémon,Grass,Poison,0.7,6.9,Overgrow,,Chlorophyll,45,49,49,65,65,45,45,70,64,Medium Slow,Grass,Monster,87.5,20
2,2,Ivysaur,1,Normal,Seed Pokémon,Grass,Poison,1,13,Overgrow,,Chlorophyll,60,62,63,80,80,60,45,70,142,Medium Slow,Grass,Monster,87.5,20
3,3,Venusaur,1,Normal,Seed Pokémon,Grass,Poison,2,100,Overgrow,,Chlorophyll,80,82,83,100,100,80,45,70,236,Medium Slow,Grass,Monster,87.5,20
4,3,Mega Venusaur,1,Normal,Seed Pokémon,Grass,Poison,2.4,155.5,Thick Fat,,,80,100,123,122,120,80,45,70,281,Medium Slow,Grass,Monster,87.5,20
5,4,Charmander,1,Normal,Lizard Pokémon,Fire,,0.6,8.5,Blaze,,Solar Power,39,52,43,60,50,65,45,70,62,Medium Slow,Dragon,Monster,87.5,20
6,5,Charmeleon,1,Normal,Flame Pokémon,Fire,,1.1,19,Blaze,,Solar Power,58,64,58,80,65,80,45,70,142,Medium Slow,Dragon,Monster,87.5,20
7,6,Charizard,1,Normal,Flame Pokémon,Fire,Flying,1.7,90.5,Blaze,,Solar Power,78,84,78,109,85,100,45,70,240,Medium Slow,Dragon,Monster,87.5,20
8,6,Mega Charizard X,1,Normal,Flame Pokémon,Fire,Dragon,1.7,110.5,Tough Claws,,,78,130,111,130,85,100,45,70,285,Medium Slow,Dragon,Monster,87.5,20
9,6,Mega Charizard Y,1,Normal,Flame Pokémon,Fire,Flying,1.7,100.5,Drought,,,78,104,78,159,115,100,45,70,285,Medium Slow,Dragon,Monster,87.5,20
10,7,Squirtle,1,Normal,Tiny Turtle Pokémon,Water,,0.5,9,Torrent,,Rain Dish,44,48,65,50,64,43,45,70,63,Medium Slow,Monster,Water 1,87.5,20
11,8,Wartortle,1,Normal,Turtle Pokémon,Water,,1,22.5,Torrent,,Rain Dish,59,63,80,65,80,58,45,70,142,Medium Slow,Monster,Water 1,87.5,20
12,9,Blastoise,1,Normal,Shellfish Pokémon,Water,,1.6,85.5,Torrent,,Rain Dish,79,83,100,85,105,78,45,70,239,Medium Slow,Monster,Water 1,87.5,20
13,9,Mega Blastoise,1,Normal,Shellfish Pokémon,Water,,1.6,101.1,Mega Launcher,,,79,103,120,135,115,78,45,70,284,Medium Slow,Monster,Water 1,87.5,20
14,10,Caterpie,1,Normal,Worm Pokémon,Bug,,0.3,2.9,Shield Dust,,Run Away,45,30,35,20,20,45,255,70,39,Medium Fast,Bug,,50,15
15,11,Metapod,1,Normal,Cocoon Pokémon,Bug,,0.7,9.9,Shed Skin,,,50,20,55,25,25,30,120,70,72,Medium Fast,Bug,,50,15
